S&P/ASX 20  XTL 2,533.7 1.1 2,532.6
    S&P/ASX 50  XFL 4,256.4 -1.0    4,257.4
    S&P/ASX 100 XTO 3,474.8 -1.0    3,475.8
    S&P/ASX 200 XJO 4,270.4 -3.3    4,273.7
    S&P/ASX 200 2 x Daily Inverse Index XNV 442.4   0.8 441.6
    S&P/ASX 200 2 x Daily Leverage Index    XLD 711.8   -1.1    713.0
    S&P/ASX 300 XKO 4,274.2 -3.4    4,277.6
    ALL ORDINARIES  XAO 4,360.7 -4.2    4,364.9
    S&P/ASX MIDCAP 50   XMD 3,858.0 -4.1    3,862.1
    S&P/ASX SMALL ORDINARIES    XSO 2,493.0 -12.9   2,505.9
    S&P/ASX All Australian 50   XAF 4,226.6 -0.7    4,227.3
    S&P/ASX All Australian 200  XAT 4,260.9 -3.0    4,263.9
    S&P/ASX200 A-REIT (Sector)  XPJ 826.4   1.7 824.7
    S&P/ASX 200 Consumer Discretionary (Sector) XDJ 1,283.2 0.6 1,282.6
    S&P/ASX 200 Consumer Staples (Sector)   XSJ 7,353.2 15.1    7,338.1
    S&P/ASX Dividend Opportunities Index    XDI 1,450.5 2.2 1,448.3
    S&P/ASX Emerging Companies Index    XEC 1,720.2 -4.2    1,724.4
    S&P/ASX 200 Energy (Sector) XEJ 14,196.9    50.2    14,146.7
    S&P/ASX 200 Financials (Sector) XFJ 4,123.5 12.1    4,111.4
    S&P/ASX 200 Financial-x-A-REIT (Sector) XXJ 4,750.2 14.9    4,735.3
    S&P/ASX All Ordinaries Gold (Sub Industry)  XGD 5,979.3 -109.8  6,089.1
    S&P/ASX 200 Health Care (Sector)    XHJ 8,402.3 104.1   8,298.2
    S&P/ASX 200 Industrials (Sector)    XNJ 3,734.1 -8.5    3,742.6
    S&P/ASX 200 Information Technology (Sector) XIJ 539.5   2.4 537.1
    S&P/ASX 200 Materials (Sector)  XMJ 10,849.6    -133.2  10,982.8
    S&P/ASX 300 Metals and Mining (Industry)    XMM 3,837.5 -52.4   3,889.9
    S&P/ASX 200 Net Total Return    XNT 31,961.1    -23.0   31,984.1
    S&P/ASX 200 RESOURCES   XJR 4,593.3 -41.8   4,635.1
    S&P/ASX 200 Telecommunication Services (Sector) XTJ 1,114.1 6.0 1,108.1
    S&P/ASX 200 Utilities (Sector)  XUJ 4,821.3 32.0    4,789.3
